frame,reward,epsilon
1969,-21.00,0.998
2761,-21.00,0.998
3961,-18.00,0.996
4948,-20.00,0.996
5868,-19.00,0.995
6753,-21.00,0.994
7663,-21.00,0.993
8446,-21.00,0.992
9470,-19.00,0.991
10295,-21.00,0.991
11087,-21.00,0.990
12276,-19.00,0.989
13254,-21.00,0.988
14108,-21.00,0.987
14933,-21.00,0.987
15845,-21.00,0.986
16897,-19.00,0.985
17764,-20.00,0.984
18652,-20.00,0.983
19573,-19.00,0.982
20337,-21.00,0.982
21313,-21.00,0.981
22134,-21.00,0.980
22898,-21.00,0.979
23724,-21.00,0.979
24488,-21.00,0.978
25359,-20.00,0.977
26447,-18.00,0.976
27230,-21.00,0.975
28052,-21.00,0.975
29031,-20.00,0.974
30110,-20.00,0.973
31146,-19.00,0.972
32017,-20.00,0.971
33058,-20.00,0.970
34000,-21.00,0.969
34843,-21.00,0.969
35727,-20.00,0.968
36667,-21.00,0.967
37553,-21.00,0.966
38490,-19.00,0.965
39470,-20.00,0.964
40416,-21.00,0.964
41227,-21.00,0.963
42130,-20.00,0.962
42894,-21.00,0.961
43840,-21.00,0.961
44748,-21.00,0.960
45938,-18.00,0.959
46731,-21.00,0.958
47602,-21.00,0.957
48426,-21.00,0.956
49250,-21.00,0.956
50148,-21.00,0.955
51205,-19.00,0.954
52055,-21.00,0.953
53240,-19.00,0.952
54181,-21.00,0.951
55153,-19.00,0.950
56024,-20.00,0.950
56955,-20.00,0.949
57858,-20.00,0.948
58678,-21.00,0.947
59816,-20.00,0.946
60599,-21.00,0.945
61511,-21.00,0.945
62411,-20.00,0.944
63431,-20.00,0.943
64484,-19.00,0.942
65682,-20.00,0.941
66654,-21.00,0.940
67536,-21.00,0.939
68564,-20.00,0.938
69639,-19.00,0.937
70555,-21.00,0.937
71403,-21.00,0.936
72504,-19.00,0.935
73403,-21.00,0.934
74352,-20.00,0.933
75410,-20.00,0.932
76174,-21.00,0.931
77254,-20.00,0.930
78065,-21.00,0.930
79027,-20.00,0.929
79932,-20.00,0.928
80960,-20.00,0.927
81922,-21.00,0.926
82860,-21.00,0.925
83684,-21.00,0.925
84538,-21.00,0.924
85484,-21.00,0.923
86580,-21.00,0.922
87734,-19.00,0.921
88752,-20.00,0.920
89786,-20.00,0.919
90913,-19.00,0.918
91735,-21.00,0.917
92680,-21.00,0.917
93751,-19.00,0.916
94544,-21.00,0.915
95396,-21.00,0.914
96397,-19.00,0.913
97282,-21.00,0.912
98126,-21.00,0.912
99196,-19.00,0.911
100204,-19.00,0.910
101344,-20.00,0.909
102314,-21.00,0.908
103449,-19.00,0.907
104427,-20.00,0.906
105447,-21.00,0.905
106319,-21.00,0.904
107460,-21.00,0.903
108450,-20.00,0.902
109367,-20.00,0.902
110404,-19.00,0.901
111516,-20.00,0.900
112598,-21.00,0.899
113791,-20.00,0.898
114769,-20.00,0.897
115708,-20.00,0.896
